conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 125 NA 479.09 480.45 AlGore_2006.AG.p.52.seg.150 AlGore_2006-light.wav
AlGore_2006 AG AG 126 NA 481.43 483.5 AlGore_2006.AG.p.52.seg.151 AlGore_2006-light.wav
AlGore_2006 AG AG 127 NA 484.04 486.34 AlGore_2006.AG.p.52.seg.152 AlGore_2006-light.wav
AlGore_2006 AG AG 128 NA 486.63 489.08 AlGore_2006.AG.p.52.seg.153 AlGore_2006-light.wav
AlGore_2006 AG AG 129 NA 489.7 494.12 AlGore_2006.AG.p.52.seg.154 AlGore_2006-light.wav
AlGore_2006 AG AG 130 NA 495.02 499.36 AlGore_2006.AG.p.52.seg.155 AlGore_2006-light.wav
AlGore_2006 AG AG 131 NA 499.46 501.04 AlGore_2006.AG.p.52.seg.156 AlGore_2006-light.wav
AlGore_2006 AG AG 132 NA 501.24 506.72 AlGore_2006.AG.p.52.seg.157 AlGore_2006-light.wav
AlGore_2006 AG AG 133 NA 506.77 509.35 AlGore_2006.AG.p.52.seg.158 AlGore_2006-light.wav
AlGore_2006 AG AG 134 NA 509.51 512.29 AlGore_2006.AG.p.52.seg.159 AlGore_2006-light.wav
AlGore_2006 AG AG 135 NA 512.29 513.59 AlGore_2006.AG.p.52.seg.160 AlGore_2006-light.wav
AlGore_2006 AG AG 136 NA 514.65 519.84 AlGore_2006.AG.p.52.seg.161 AlGore_2006-light.wav
AlGore_2006 AG AG 137 NA 520.38 527.18 AlGore_2006.AG.p.52.seg.162 AlGore_2006-light.wav
AlGore_2006 AG AG 138 NA 527.18 533.33 AlGore_2006.AG.p.52.seg.163 AlGore_2006-light.wav
AlGore_2006 AG AG 139 NA 534.86 535.96 AlGore_2006.AG.p.52.seg.164 AlGore_2006-light.wav
AlGore_2006 AG AG 140 NA 536.15 539.15 AlGore_2006.AG.p.52.seg.165 AlGore_2006-light.wav
AlGore_2006 AG AG 141 NA 541.88 543.26 AlGore_2006.AG.p.53.seg.166 AlGore_2006-light.wav
AlGore_2006 AG AG 142 NA 544.39 548.34 AlGore_2006.AG.p.53.seg.167 AlGore_2006-light.wav
AlGore_2006 AG AG 143 NA 549.4 551.18 AlGore_2006.AG.p.53.seg.168 AlGore_2006-light.wav
AlGore_2006 AG AG 144 NA 551.37 553.82 AlGore_2006.AG.p.53.seg.169 AlGore_2006-light.wav
AlGore_2006 AG AG 145 NA 554.84 558.22 AlGore_2006.AG.p.53.seg.170 AlGore_2006-light.wav
AlGore_2006 AG AG 146 NA 558.72 559.77 AlGore_2006.AG.p.53.seg.171 AlGore_2006-light.wav
AlGore_2006 AG AG 147 NA 560.93 563.57 AlGore_2006.AG.p.53.seg.172 AlGore_2006-light.wav
AlGore_2006 AG AG 148 NA 563.6 564.23 AlGore_2006.AG.p.53.seg.173 AlGore_2006-light.wav
AlGore_2006 AG AG 149 NA 565.68 566.92 AlGore_2006.AG.p.54.seg.174 AlGore_2006-light.wav
AlGore_2006 AG AG 150 NA 567.38 570.19 AlGore_2006.AG.p.54.seg.175 AlGore_2006-light.wav
AlGore_2006 AG AG 151 NA 570.33 573.6 AlGore_2006.AG.p.54.seg.176 AlGore_2006-light.wav
AlGore_2006 AG AG 152 NA 573.95 579.4 AlGore_2006.AG.p.54.seg.177 AlGore_2006-light.wav
AlGore_2006 AG AG 153 NA 580.24 581.18 AlGore_2006.AG.p.54.seg.178 AlGore_2006-light.wav
AlGore_2006 AG AG 154 NA 582.08 585.23 AlGore_2006.AG.p.54.seg.179 AlGore_2006-light.wav
AlGore_2006 AG AG 155 NA 586 587.95 AlGore_2006.AG.p.54.seg.180 AlGore_2006-light.wav
AlGore_2006 AG AG 156 NA 588.57 590.42 AlGore_2006.AG.p.54.seg.181 AlGore_2006-light.wav
AlGore_2006 AG AG 157 NA 591.01 596.81 AlGore_2006.AG.p.54.seg.182 AlGore_2006-light.wav
AlGore_2006 AG AG 158 NA 597.02 598.71 AlGore_2006.AG.p.54.seg.183 AlGore_2006-light.wav
AlGore_2006 AG AG 159 NA 599.15 600.34 AlGore_2006.AG.p.54.seg.184 AlGore_2006-light.wav
AlGore_2006 AG AG 160 NA 602.63 605.27 AlGore_2006.AG.p.54.seg.185 AlGore_2006-light.wav
AlGore_2006 AG AG 161 NA 605.99 607.95 AlGore_2006.AG.p.54.seg.186 AlGore_2006-light.wav
AlGore_2006 AG AG 162 NA 608 613.66 AlGore_2006.AG.p.54.seg.187 AlGore_2006-light.wav
AlGore_2006 AG AG 163 NA 614.15 616.26 AlGore_2006.AG.p.54.seg.188 AlGore_2006-light.wav
AlGore_2006 AG AG 164 NA 616.94 620.91 AlGore_2006.AG.p.54.seg.189 AlGore_2006-light.wav
AlGore_2006 AG AG 165 NA 620.94 623.61 AlGore_2006.AG.p.54.seg.190 AlGore_2006-light.wav
AlGore_2006 AG AG 166 NA 624.21 630.3 AlGore_2006.AG.p.54.seg.191 AlGore_2006-light.wav
AlGore_2006 AG AG 167 NA 631.13 633.8 AlGore_2006.AG.p.55.seg.192 AlGore_2006-light.wav
AlGore_2006 AG AG 168 NA 635.15 637.37 AlGore_2006.AG.p.55.seg.193 AlGore_2006-light.wav
AlGore_2006 AG AG 169 NA 638.14 640.76 AlGore_2006.AG.p.55.seg.194 AlGore_2006-light.wav
AlGore_2006 AG AG 170 NA 640.79 643.6 AlGore_2006.AG.p.55.seg.195 AlGore_2006-light.wav
AlGore_2006 AG AG 171 NA 643.81 646.86 AlGore_2006.AG.p.55.seg.196 AlGore_2006-light.wav
AlGore_2006 AG AG 172 NA 647.03 650.97 AlGore_2006.AG.p.55.seg.197 AlGore_2006-light.wav
AlGore_2006 AG AG 173 NA 652.26 657.64 AlGore_2006.AG.p.55.seg.198 AlGore_2006-light.wav
AlGore_2006 AG AG 174 NA 657.88 661.01 AlGore_2006.AG.p.55.seg.199 AlGore_2006-light.wav
AlGore_2006 AG AG 175 NA 661.23 664.4 AlGore_2006.AG.p.55.seg.200 AlGore_2006-light.wav
AlGore_2006 AG AG 176 NA 664.43 666.31 AlGore_2006.AG.p.55.seg.201 AlGore_2006-light.wav
AlGore_2006 AG AG 177 NA 666.31 669.61 AlGore_2006.AG.p.55.seg.202 AlGore_2006-light.wav
